matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
679,1.14.5,5,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,29.71,,4,4,4,,0,4.027,0.182,0.531,44,94
679,1.14.6,6,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Siddarth Kaul,1086,TRUE,MEDIUM_SEAM,31.995,,1,1,1,,-0.091,6.293,0.253,0.476,66,15
679,1.15.1,1,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,27.684,,1,0,1,Wd,-0.477,4.127,-0.489,0.503,5,5
679,1.15.2,1,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,27.712,,4,4,4,,-0.468,3.605,-0.468,0.589,20,13
679,1.15.3,2,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,25.617,,1,1,1,,0.334,2.349,0.444,0.409,63,74
679,1.15.4,3,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Roelof van der Merwe,173,FALSE,ORTHODOX,25.842,,0,0,0,,-0.184,4.329,-0.102,0.596,35,27
679,1.15.5,4,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Roelof van der Merwe,173,FALSE,ORTHODOX,24.372,,1,1,1,,0.015,3.382,0.11,0.67,67,76
679,1.15.6,5,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Roelof van der Merwe,173,FALSE,ORTHODOX,26.519,,1,1,1,,0.077,3.134,0.158,0.551,33,75
679,1.15.7,6,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Roelof van der Merwe,173,FALSE,ORTHODOX,26.368,,1,1,1,,-0.246,5.56,-0.139,0.706,27,32
679,1.16.1,1,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Ashish Nehra,115,FALSE,MEDIUM_SEAM,37.806,,1,0,0,Lb,0.3,7.509,0.237,0.783,5,5
679,1.16.2,2,Ravindra Jadeja,9,FALSE,MS Dhoni,1,Ashish Nehra,115,FALSE,MEDIUM_SEAM,38.242,,1,1,1,,0.456,7.657,0.323,0.824,68,11
679,1.16.3,3,MS Dhoni,1,TRUE,Ravindra Jadeja,9,Ashish Nehra,115,FALSE,MEDIUM_SEAM,36.736,,6,6,6,,0.003,5.859,-0.27,0.644,92,74
